links,url,text
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,"The broad ""pause"" would have had exceptions. It would exclude those who, according to a written finding by the head of Immigration and Customs Enforcement (ICE), have engaged in terrorism or espionage or who pose a danger to national security. It would also exclude those who were not present in the U.S. before Nov. 1, 2020, those who agreed to waive the right to remain, and those whom the ICE director individually determined need to be removed by law."
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"According to the outlet, investigators became so alarmed by Fang’s behavior and activities that they alerted Swalwell in 2015 to their concerns, and gave him a ""defensive briefing."" Swalwell then cut off all ties with Fang and has not been accused of any wrongdoing, an official said."
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,"Fox News did not immediately receive a response to a request for comment from the office of Sen. Rob Portman, R-Ohio, the ranking member of the HSGAC. The office of moderate Sen. Kyrsten Sinema, D-Ariz., who sits on the HSGAC, also did not immediately respond."
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,"Meanwhile, on Tuesday, Democratic Assemblymember Vivian Cook, one of several politicians and health officials who joined Cuomo at the vaccination site, expressed her support for the governor."
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"Kim told Brian Kilmeade the Cuomo administration ""might have broken the law"" by withholding nursing home data."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,Neither Boylan nor Cuomo immediately responded to Fox News' request for comment.
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"Some of the other high-profile Trump loyalists who will be present at CPAC are Rep. Mo Brooks, R-Ala., who led the push earlier this year to overturn the Electoral College results in some states; Paxton, who led a lawsuit to overturn four states' election results; Reps. Jim Jordan, R-Ohio, and Devin Nunes, R-Calif., two of Trump's staunchest allies in the House; and former acting Director of National Intelligence Richard Grenell."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"TRUMP SHOULD FOCUS ON 2022 ELECTIONS, NOT 2024, IN CPAC ADDRESS: NEWT GINGRICH"
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,"Cuomo has faced intense scrutiny and pressure to resign in recent weeks following explosive revelations that his administration concealed accurate nursing home death counts in the midst of the COVID-19 pandemic, stonewalling a federal investigation by the Justice Department into elder care facilities in four states, including New York."
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,"Biden had campaigned on the 100-day pause as part of a sweeping immigration agenda that includes a halt on border wall construction, an end to the Migrant Protection Protocols (MPP) and a pathway to citizenship for millions of illegal immigrants."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"Masks are required in all public spaces of CPAC, due to regulations in Orange County, Florida, and the Hyatt hotel where the conference is being held. Some of the peripheral activities around CPAC like book signings have been pared back to limit face-to-face contact."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"""Sexual harassment and sexual abuse in the workplace is not a political issue, it is about right and wrong."""
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"""Let’s play strip poker,"" Boylan said Cuomo remarked on a flight from an event in October 2017, according to an essay she wrote on Medium published Wednesday."
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"RON KIM, NY DEM THREATENED BY CUOMO, SAYS HE WON'T SUPPORT HIM POLITICALLY AMID NURSING HOME SCANDAL"
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"""I think there’s a lot of corruption, and thanks to Ron Kim, we’re starting to see the rot underneath the floorboards,"" she said."
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"""This is not, by the way, about politics … We need both sides of the aisle to come together,"" she said. ""This is about good and bad and what we do going forward for families that won’t ever have to deal with something like this again."""
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"""It is an inexcusable disgrace that almost every other elected official in New York State quietly brushed this serious and credible allegation under the rug,"" Stefanik said in a statement Thursday."
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,"Biden administration officials, including John Kerry and Robert Malley, had meetings with Iranian Foreign Minister Javad Zarif during the Trump administration that were orchestrated to undermine President Biden's predecessor, a recent report from The Washington Times claimed."
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,"The Senate Homeland Security and Governmental Affairs Committee (HSGAC) and Budget Committees postponed planned business meetings Wednesday where they were supposed to vote on Neera Tanden, President Biden's pick to be the director of the Office of Management and Budget."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"Trump was confirmed over the weekend to be closing CPAC as the headliner on Sunday afternoon, the final day of the conference. And his son, Donald Trump Jr., will be headlining the first full day of CPAC on Friday."
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,Tipton had previously issued a two-week restraining order on the policy after Texas Attorney General Ken Paxton had argued that it violated federal law and an agreement with the Department of Homeland Security (DHS) that Texas be consulted before such a move.
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,Boylan said she interpreted that to be an innuendo referencing the affair between Clinton and his then-intern Monica Lewinsky in the mid-1990s.
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"She said she was warned by other staffers when she joined Cuomo's administration in 2015 to ""be careful around the Governor."""
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"""This includes information classified as Top Secret, which by its very nature ‘could reasonably be expected to cause exceptionally grave damage to the national security’ if subject to unauthorized disclosure,"" they write."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,CUOMO ADMITTED HE WOULDN'T PUT HIS MOTHER IN NURSING HOME THE SAME MONTH HE ISSUED COVID ORDER
LIVE UPDATES: Joe Biden has yet to declare Uyghur abuses genocide,https://www.foxnews.com/politics/joe-biden-live-updates-2-24-2021,"The president didn't mention China’s human rights abuses during a virtual meeting with Canadian Prime Minister Justin Trudeau Tuesday. He said that the U.S. and Canada are coordinating ""approaches to better compete with China and to counter threats to our interests and values."""
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,"York College site is expected to administer 21,000 vaccines per week. Cuomo said, to date, 2 million New Yorkers have been vaccinated."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,CLICK HERE TO GET THE FOX NEWS APP
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"""At this time, no information or justification for this assignment has been provided to the Committee on Homeland Security,"" the letter said. ""Such a briefing is necessary because each Committee is responsible for protecting the classified information in its care."""
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,"""I have carefully reviewed Neera Tanden’s public statements and tweets that were personally directed towards my colleagues on both sides of the aisle from Senator Sanders to Senator McConnell and others,"" Manchin said. ""I believe her overtly partisan statements will have a toxic and detrimental impact on the important working relationship between members of Congress and the next director of the Office of Management and Budget."""
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,"A committee aide for HSGAC told Fox News that ""[t]here are still a number of conversations happening on both sides of the aisle, so it was postponed to give more time for those conversations to continue. We'll keep working with members on the best path forward."""
Dozens of House Democrats want Biden to give up sole authority to launch nuclear weapons,https://www.foxnews.com/politics/democrats-biden-rescind-sole-nuclear-capabilities,"Democrats previously expressed concern with former President Trump having access to such power. House Speaker Nancy Pelosi in January, for example, said she spoke with Chairman of the Joint Chiefs of Staff Gen. Mark Milley about protecting nuclear codes from an ""unhinged president."""
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"New York State Assemblyman Ron Kim said a recent phone call from New York Gov. Andrew Cuomo was a ""terrorizing moment"" that left his wife ""crying and shaking."""
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,"""Our state defends the largest section of the southern border in the nation. Failure to properly enforce the law will directly and immediately endanger our citizens and law enforcement personnel,"" Paxton said in a statement last month announcing the lawsuit."
Dozens of House Democrats want Biden to give up sole authority to launch nuclear weapons,https://www.foxnews.com/politics/democrats-biden-rescind-sole-nuclear-capabilities,"About three dozen House Democrats have signed a letter asking President Biden to renounce his sole authority to launch nuclear weapons, according to reports."
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,CLICK HERE TO GET THE FOX NEWS APP
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,The Biden administration’s efforts to impose a 100-day pause on deportations of illegal immigrants were dealt another blow on Tuesday when a district judge extended a ban on its imposition in response to a lawsuit from Texas.
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,"NY DEMOCRAT SAYS PHONE CALL FROM CUOMO WAS 'TERRORIZING MOMENT,' LEFT WIFE 'CRYING AND SHAKING'"
Dozens of House Democrats want Biden to give up sole authority to launch nuclear weapons,https://www.foxnews.com/politics/democrats-biden-rescind-sole-nuclear-capabilities,"Democrats offered some alternatives to sole nuclear authority, such as requiring the vice president and House speaker to agree with a launch order from the president before it is executed, according to Politico."
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"""As our nation faces a growing security threat from the Chinese Communist Party’s (CCP) attempts to infiltrate and undermine the United States Government, we write to request a full briefing regarding counterintelligence threats to Members of Congress, including information related to Rep. Eric Swalwell’s ties to a suspected Chinese intelligence operative,"" says the letter from 14 House Republicans, including Rep. Dan Bishop, R-N.C. and Homeland Security Committee Ranking Member John Katko, R-N.Y."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,But other things are the same.
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"""What it appears though that this person -- as the story reports -- was unsuccessful in whatever they were trying to do,"" he said. ""But if intelligence officials are trying to weaponize someone’s cooperation, they are essentially seeking to do what this person was not able to do, which is to try and discredit someone."""
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,"The guidance is temporary, lasting three months, until DHS can issue further guidance. Officials said the guidance does not explicitly prevent anyone from being arrested or deported. Instead, it directs resources at certain targets."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,Boylan accused the governor of harassment last year but did not elaborate on her experiences at the time.
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"""They admitted an obstruction of justice, and I had a duty to tell the public,"" he added later. ""They might have broken the law, and I’m not going to be complicit in the cover-up."""
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,"MOST NEW YORKERS SAY CUOMO MISHANDLED CORONAVIRUS IN NURSING HOMES, POLL FINDS"
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"The concern about Swalwell originated in December, when Axios reported that a Chinese national named Fang Fang or Christine Fang had targeted up-and-coming local politicians, including those who had the potential to become national figures."
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,Fox News asked the White House if it had withdrawn Tanden's nomination. White House Press Secretary Jen Psaki responded with a statement lauding Tanden.
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"A former aide to Gov. Andrew Cuomo is accusing the embattled New York leader of sexually harassing her -- including unwanted kissing and touching -- and says his top female staffers ""normalized"" the behavior."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"""We're going to go through the real stuff. Not the imagined charges, not the fantastical charges. Just the real stuff,"" Schlapp said. ""All of the globalists tell us that we should be going along with the globe. Well, the globe tells us this is the wrong way to vote. You vote in person. That's what you do in these other democracies. You vote once and there's a lot of security around it. So much security that the American government often helps pay for that security."""
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,NORTH KOREA AND IRAN TEAMING UP AGAIN AS US WEIGHS IRAN NUCLEAR DEAL
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,"Cuomo made the remarks at the opening of the largest mass vaccination site in the state, at York College in Queens, New York."
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"""Ron Kim is a hero,"" she added. ""He’s been with me right from the very beginning when a lot of Democratic lawmakers were not."""
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,"The former Trump official pointed to Iran’s economic downturn, mishandling of the coronavirus, and civil unrest as evidence the country is on the ""verge of collapse."""
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"CPAC is still bringing a high-profile slate of Republican speakers, including top lawmakers like Sens. Tom Cotton, R-Ark., Ted Cruz, R-Texas, and Josh Hawley, R-Mo. Former Secretary of State Mike Pompeo will be there. So will high-profile state officials like Texas Attorney General Ken Paxton and South Dakota Gov. Kristi Noem. Schlapp still expects a crowded hall for the conference's top speeches and a large number of politically engaged high school and college students."
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"EXCLUSIVE: House Republicans are requesting that FBI Director Christopher Wray hold a briefing on Rep. Eric Swalwell’s, D-Calif., past ties to an alleged Chinese spy -- asking that lawmakers be informed of the ""full extent"" of Chinese targeting members of Congress."
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,"Kerry, who is now President Biden's top climate envoy, has been open about the fact that he met with Zarif at least twice during the Trump administration, prompting Trump to say he should be prosecuted under the Logan Act."
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,"An official notice that the Tanden markup was postponed went out on the HSGAC website. A source familiar told Fox News that ""Tanden's budget markup is postponed"" shortly before the Budget Committee sent out its official notice."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"Lindsey Boylan, the former deputy secretary for economic development and special adviser to the governor, said Cuomo constantly sought her out and had staffers arrange meetings with her, where he made inappropriate comments."
Dozens of House Democrats want Biden to give up sole authority to launch nuclear weapons,https://www.foxnews.com/politics/democrats-biden-rescind-sole-nuclear-capabilities,"Presidents have continually passed down a briefcase containing all the necessary materials to dial up a nuclear strike using a specific code, often referred to as the ""nuclear football."""
